Time,"x","y","z","Ux","Uy","Uz","p"
0.1,0,0,0,0,0,0,9.7813e-09
0.1,0.05,0,0,0,0,0,6.7291e-05
0.1,0.1,0,0,0,0,0,0.00056153
0.1,0.15,0,0,0,0,0,0.0017469
0.1,0.2,0,0,0,0,0,0.0035651
0.1,0.25,0,0,0,0,0,0.0059552
0.1,0.3,0,0,0,0,0,0.0088481
0.1,0.35,0,0,0,0,0,0.012162
0.1,0.4,0,0,0,0,0,0.015804
0.1,0.45,0,0,0,0,0,0.019673
0.1,0.5,0,0,0,0,0,0.023663
0.1,0.55,0,0,0,0,0,0.027664
0.1,0.6,0,0,0,0,0,0.031563
0.1,0.65,0,0,0,0,0,0.035253
0.1,0.7,0,0,0,0,0,0.038626
0.1,0.75,0,0,0,0,0,0.041584
0.1,0.8,0,0,0,0,0,0.044039
0.1,0.85,0,0,0,0,0,0.045915
0.1,0.9,0,0,0,0,0,0.047145
0.1,0.95,0,0,0,0,0,0.047665
0.1,1,0,0,0,0,0,0.047741
0.1,0,0.05,0,0,0,0,-6.8729e-05
0.1,0.05,0.05,0,-0.0010243,0.0010046,0,-2.7628e-06
0.1,0.1,0.05,0,-0.0022637,0.0011724,0,0.00049298
0.1,0.15,0.05,0,-0.0035751,0.0011285,0,0.0016839
0.1,0.2,0.05,0,-0.004794,0.0010287,0,0.0035077
0.1,0.25,0.05,0,-0.0058804,0.00089993,0,0.0059039
0.1,0.3,0.05,0,-0.0068084,0.00074861,0,0.0088041
0.1,0.35,0.05,0,-0.0075555,0.00057923,0,0.012126
0.1,0.4,0.05,0,-0.0081039,0.00039622,0,0.015778
0.1,0.45,0.05,0,-0.0084411,0.00020397,0,0.019658
0.1,0.5,0.05,0,-0.0085592,6.774e-06,0,0.023659
0.1,0.55,0.05,0,-0.008455,-0.0001911,0,0.027671
0.1,0.6,0.05,0,-0.0081304,-0.00038531,0,0.031582
0.1,0.65,0.05,0,-0.0075918,-0.00057138,0,0.035282
0.1,0.7,0.05,0,-0.0068509,-0.00074465,0,0.038666
0.1,0.75,0.05,0,-0.0059245,-0.00090032,0,0.041634
0.1,0.8,0.05,0,-0.0048352,-0.0010335,0,0.044096
0.1,0.85,0.05,0,-0.0036087,-0.0011372,0,0.045979
0.1,0.9,0.05,0,-0.0022862,-0.0011843,0,0.047216
0.1,0.95,0.05,0,-0.0010345,-0.0010163,0,0.047738
0.1,1,0.05,0,0,0,0,0.047813
