"t","x","y"
0,0.012695652,0.0
0,0.0,0.0
0,0.025391305,0.0
0,0.03808696,0.0
0,0.05078261,0.0
0,0.06347826,0.0
0,0.07617392,0.0
0,0.088869564,0.0
0,0.10156522,0.0
0,0.11426087,0.0
0,0.12695652,0.0
0,0.13965218,0.0
0,0.15234783,0.0
0,0.16504347,0.0
0,0.17773913,0.0
0,0.19043478,0.0
0,0.20313044,0.0
0,0.2158261,0.0
0,0.22852173,0.0
0,0.24121739,0.0
0,0.25391304,0.0
0,0.2666087,0.0
0,0.27930436,0.0
0,0.292,0.0
0,0.292,0.00599987
0,0.292,0.01199974
0,0.292,0.01799961
0,0.292,0.02399948
0,0.292,0.02999935
0,0.292,0.03599922
0,0.292,0.04199909
0,0.292,0.04799896
0,0.29799986,0.04799896
0,0.30399975,0.04799896
0,0.30999961,0.04799896
0,0.31599948,0.04799896
0,0.31599948,0.0
0,0.31599948,0.00599987
0,0.31599948,0.01199974
0,0.31599948,0.01799961
0,0.31599948,0.02399948
0,0.31599948,0.02999935
0,0.31599948,0.03599922
0,0.31599948,0.04199909
0,0.33010477,0.0
0,0.34421006,0.0
0,0.35831535,0.0
0,0.37242064,0.0
0,0.38652593,0.0
0,0.40063122,0.0
0,0.4147365,0.0
0,0.4288418,0.0
0,0.4429471,0.0
0,0.45705238,0.0
0,0.47115767,0.0
0,0.48526296,0.0
0,0.49936825,0.0
0,0.5134736,0.0
0,0.52757883,0.0
0,0.54168415,0.0
0,0.5557894,0.0
0,0.56989473,0.0
0,0.584,0.0
0.1008,0.012695652,0.0
0.1008,0.0,0.0
0.1008,0.025391305,0.0
0.1008,0.03808696,0.0
0.1008,0.05078261,0.0
0.1008,0.06347826,0.0
0.1008,0.07617392,0.0
0.1008,0.088869564,0.0
0.1008,0.10156522,0.0
0.1008,0.11426087,0.0
0.1008,0.12695652,0.0
0.1008,0.13965218,0.0
0.1008,0.15234783,0.0
0.1008,0.16504347,0.0
0.1008,0.17773913,0.0
0.1008,0.19043478,0.0
0.1008,0.20313044,0.0
0.1008,0.2158261,0.0
0.1008,0.22852173,0.0
0.1008,0.24121739,0.0
0.1008,0.25391304,0.0
0.1008,0.2666087,0.0
0.1008,0.27930436,0.0
0.1008,0.292,0.0
0.1008,0.292,0.00599987
0.1008,0.292,0.01199974
0.1008,0.292,0.01799961
0.1008,0.292,0.02399948
0.1008,0.292,0.02999935
0.1008,0.292,0.03599922
0.1008,0.292,0.04199909
0.1008,0.292,0.04799896
0.1008,0.29799986,0.04799896
0.1008,0.30399975,0.04799896
0.1008,0.30999961,0.04799896
0.1008,0.31599948,0.04799896
0.1008,0.31599948,0.0
0.1008,0.31599948,0.00599987
0.1008,0.31599948,0.01199974
0.1008,0.31599948,0.01799961
0.1008,0.31599948,0.02399948
0.1008,0.31599948,0.02999935
0.1008,0.31599948,0.03599922
0.1008,0.31599948,0.04199909
0.1008,0.33010477,0.0
0.1008,0.34421006,0.0
0.1008,0.35831535,0.0
0.1008,0.37242064,0.0
0.1008,0.38652593,0.0
0.1008,0.40063122,0.0
0.1008,0.4147365,0.0
0.1008,0.4288418,0.0
0.1008,0.4429471,0.0
0.1008,0.45705238,0.0
0.1008,0.47115767,0.0
0.1008,0.48526296,0.0
0.1008,0.49936825,0.0
0.1008,0.5134736,0.0
0.1008,0.52757883,0.0
0.1008,0.54168415,0.0
0.1008,0.5557894,0.0
0.1008,0.56989473,0.0
0.1008,0.584,0.0
0.20068,0.012695652,0.0
0.20068,0.0,0.0
0.20068,0.025391305,0.0
0.20068,0.03808696,0.0
0.20068,0.05078261,0.0
